iter	Passed	Remaining
0	49	49275
1	49	24760
2	49	16596
3	50	12514
4	50	10055
5	50	8424
6	51	7257
7	51	6386
8	51	5708
9	52	5165
10	52	4754
11	53	4383
12	53	4067
13	53	3796
14	54	3561
15	54	3355
16	54	3173
17	55	3010
18	55	2866
19	55	2735
20	56	2617
21	56	2509
22	56	2411
23	57	2321
24	57	2238
25	57	2161
26	58	2091
27	58	2025
28	58	1967
29	59	1910
30	59	1857
31	59	1806
32	60	1759
33	60	1714
34	60	1672
35	60	1633
36	61	1595
37	61	1558
38	61	1524
39	62	1492
40	62	1461
41	62	1431
42	63	1404
43	63	1377
44	63	1351
45	64	1327
46	64	1304
47	64	1281
48	64	1260
49	65	1239
50	65	1220
51	65	1200
52	66	1182
53	66	1164
54	66	1147
55	67	1129
56	67	1113
57	67	1098
58	67	1083
59	68	1069
60	68	1055
61	68	1042
62	69	1029
63	69	1016
64	69	1004
65	70	993
66	70	982
67	70	971
68	71	960
69	71	949
70	71	938
71	72	928
72	72	918
73	72	909
74	72	900
75	73	891
76	73	882
77	73	874
78	74	865
79	74	857
80	74	849
81	75	841
82	75	833
83	75	826
84	76	818
85	76	812
86	76	805
87	76	797
88	77	790
89	77	783
90	77	777
91	78	771
92	78	766
93	78	760
94	79	754
95	79	748
96	79	743
97	80	737
98	80	731
99	80	726
100	81	721
101	81	716
102	81	710
103	81	705
104	82	700
105	82	694
106	82	690
107	83	685
108	83	679
109	83	675
110	83	670
111	84	666
112	84	662
113	84	658
114	84	653
115	85	650
116	85	646
117	85	642
118	86	638
119	86	634
120	86	631
121	87	627
122	87	623
123	87	620
124	88	616
125	88	613
126	88	609
127	89	606
128	89	603
129	89	599
130	89	596
131	90	593
132	90	590
133	90	587
134	91	584
135	91	581
136	91	578
137	92	575
138	92	572
139	92	569
140	93	566
141	93	563
142	93	561
143	93	558
144	94	555
145	94	552
146	94	550
147	95	547
148	95	545
149	95	542
150	96	540
151	96	537
152	96	535
153	96	532
154	97	530
155	97	527
156	97	525
157	98	523
158	98	520
159	98	518
160	99	516
161	99	514
162	99	512
163	100	509
164	100	507
165	100	506
166	101	504
167	101	502
168	101	500
169	102	498
170	102	496
171	102	494
172	103	492
173	103	490
174	103	488
175	103	486
176	104	484
177	104	483
178	104	481
179	105	479
180	105	477
181	105	475
182	106	473
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	463
189	108	461
190	108	459
191	108	458
192	109	456
193	109	454
194	109	453
195	110	451
196	110	449
197	110	448
198	110	446
199	111	445
200	111	443
201	111	442
202	112	440
203	112	439
204	112	437
205	113	435
206	113	434
207	113	433
208	114	431
209	114	430
210	114	428
211	114	427
212	115	425
213	115	424
214	115	423
215	116	421
216	116	420
217	116	418
218	117	417
219	117	416
220	117	414
221	117	413
222	118	412
223	118	410
224	118	409
225	119	408
226	119	406
227	119	405
228	119	403
229	120	402
230	120	401
231	120	399
232	121	398
233	121	397
234	121	395
235	121	394
236	122	393
237	122	391
238	122	390
239	122	389
240	123	388
241	123	386
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	125	379
248	125	378
249	125	377
250	125	375
251	126	374
252	126	373
253	126	372
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	363
261	128	362
262	129	361
263	129	360
264	129	359
265	129	358
266	130	357
267	130	356
268	130	354
269	130	353
270	131	352
271	131	351
272	131	350
273	131	349
274	132	348
275	132	347
276	132	346
277	132	345
278	133	344
279	133	343
280	133	342
281	133	341
282	134	339
283	134	338
284	134	337
285	134	336
286	135	335
287	135	334
288	135	333
289	135	332
290	136	331
291	136	331
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	140	317
306	140	316
307	140	316
308	140	315
309	141	314
310	141	313
311	141	312
312	141	311
313	142	310
314	142	309
315	142	308
316	142	307
317	143	307
318	143	306
319	143	305
320	143	304
321	144	303
322	144	302
323	144	302
324	145	301
325	145	300
326	145	299
327	145	298
328	146	297
329	146	297
330	146	296
331	146	295
332	147	295
333	147	294
334	148	293
335	148	293
336	148	292
337	148	291
338	149	290
339	149	290
340	149	289
341	149	288
342	150	287
343	150	287
344	150	286
345	151	285
346	151	284
347	151	284
348	151	283
349	152	282
350	152	281
351	152	281
352	152	280
353	153	279
354	153	278
355	153	278
356	154	277
357	154	276
358	154	275
359	154	275
360	155	274
361	155	273
362	155	272
363	155	272
364	156	271
365	156	270
366	156	270
367	156	269
368	157	268
369	157	268
370	157	267
371	157	266
372	158	265
373	158	265
374	158	264
375	158	263
376	159	263
377	159	262
378	159	261
379	159	261
380	160	260
381	160	259
382	160	258
383	161	258
384	161	258
385	161	257
386	162	256
387	162	256
388	162	255
389	162	254
390	163	254
391	163	253
392	163	252
393	163	252
394	164	251
395	164	250
396	164	250
397	164	249
398	165	249
399	165	248
400	165	247
401	166	247
402	166	246
403	166	245
404	166	245
405	167	244
406	167	243
407	167	243
408	167	242
409	168	241
410	168	241
411	168	240
412	168	240
413	169	239
414	169	238
415	169	238
416	169	237
417	170	236
418	170	236
419	170	235
420	170	235
421	171	234
422	171	233
423	171	233
424	171	232
425	172	232
426	172	231
427	172	230
428	173	230
429	173	229
430	173	229
431	173	228
432	174	228
433	174	227
434	174	226
435	174	226
436	175	225
437	175	225
438	175	224
439	176	224
440	176	223
441	176	223
442	176	222
443	177	221
444	177	221
445	177	220
446	177	220
447	178	219
448	178	218
449	178	218
450	178	217
451	179	217
452	179	216
453	179	216
454	179	215
455	180	215
456	180	214
457	180	213
458	181	213
459	181	212
460	181	212
461	181	211
462	182	211
463	182	210
464	182	210
465	182	209
466	183	209
467	183	208
468	183	207
469	183	207
470	184	206
471	184	206
472	184	205
473	184	205
474	185	204
475	185	204
476	185	203
477	186	203
478	186	202
479	186	202
480	186	201
481	187	201
482	187	200
483	187	199
484	187	199
485	188	198
486	188	198
487	188	197
488	188	197
489	189	196
490	189	196
491	189	195
492	189	195
493	190	194
494	190	194
495	190	193
496	190	193
497	191	192
498	191	192
499	191	191
500	192	191
501	192	190
502	192	190
503	192	189
504	193	189
505	193	188
506	193	188
507	193	187
508	194	187
509	194	186
510	194	186
511	194	185
512	195	185
513	195	184
514	195	184
515	195	183
516	196	183
517	196	182
518	196	182
519	197	182
520	197	181
521	197	181
522	198	180
523	198	180
524	198	179
525	198	179
526	199	178
527	199	178
528	199	177
529	200	177
530	200	176
531	200	176
532	200	176
533	201	175
534	201	175
535	201	174
536	201	174
537	202	173
538	202	173
539	202	172
540	203	172
541	203	171
542	203	171
543	203	170
544	204	170
545	204	169
546	204	169
547	204	168
548	205	168
549	205	168
550	205	167
551	205	167
552	206	166
553	206	166
554	206	165
555	206	165
556	207	164
557	207	164
558	207	163
559	207	163
560	208	162
561	208	162
562	208	162
563	208	161
564	209	161
565	209	160
566	209	160
567	210	159
568	210	159
569	210	158
570	210	158
571	211	157
572	211	157
573	211	157
574	212	156
575	212	156
576	212	155
577	212	155
578	213	154
579	213	154
580	213	154
581	213	153
582	214	153
583	214	152
584	214	152
585	214	151
586	215	151
587	215	150
588	215	150
589	215	150
590	216	149
591	216	149
592	216	148
593	216	148
594	217	147
595	217	147
596	217	146
597	218	146
598	218	146
599	218	145
600	218	145
601	219	144
602	219	144
603	220	144
604	220	143
605	220	143
606	220	142
607	221	142
608	221	142
609	221	141
610	221	141
611	222	140
612	222	140
613	222	140
614	223	139
615	223	139
616	223	138
617	223	138
618	224	137
619	224	137
620	224	137
621	224	136
622	225	136
623	225	135
624	225	135
625	226	135
626	226	134
627	226	134
628	226	133
629	227	133
630	227	133
631	227	132
632	228	132
633	228	131
634	228	131
635	229	131
636	229	130
637	229	130
638	229	129
639	230	129
640	230	129
641	230	128
642	230	128
643	231	127
644	231	127
645	231	126
646	231	126
647	232	126
648	232	125
649	232	125
650	232	124
651	233	124
652	233	124
653	233	123
654	234	123
655	234	122
656	234	122
657	234	122
658	235	121
659	235	121
660	235	120
661	235	120
662	236	120
663	236	119
664	236	119
665	237	118
666	237	118
667	237	118
668	237	117
669	238	117
670	238	116
671	238	116
672	238	116
673	239	115
674	239	115
675	239	114
676	239	114
677	240	114
678	240	113
679	240	113
680	240	112
681	241	112
682	241	112
683	241	111
684	241	111
685	242	110
686	242	110
687	242	110
688	242	109
689	243	109
690	243	108
691	243	108
692	244	108
693	244	107
694	244	107
695	244	106
696	245	106
697	245	106
698	245	105
699	245	105
700	246	104
701	246	104
702	246	104
703	246	103
704	247	103
705	247	103
706	247	102
707	247	102
708	248	101
709	248	101
710	248	101
711	249	100
712	249	100
713	249	99
714	249	99
715	250	99
716	250	98
717	250	98
718	250	98
719	251	97
720	251	97
721	251	96
722	251	96
723	252	96
724	252	95
725	252	95
726	252	94
727	253	94
728	253	94
729	253	93
730	253	93
731	254	93
732	254	92
733	254	92
734	255	91
735	255	91
736	255	91
737	255	90
738	256	90
739	256	90
740	256	89
741	256	89
742	257	88
743	257	88
744	257	88
745	257	87
746	258	87
747	258	87
748	258	86
749	258	86
750	259	85
751	259	85
752	259	85
753	259	84
754	260	84
755	260	84
756	260	83
757	260	83
758	261	82
759	261	82
760	261	82
761	261	81
762	262	81
763	262	81
764	262	80
765	263	80
766	263	79
767	263	79
768	263	79
769	264	78
770	264	78
771	264	78
772	264	77
773	265	77
774	265	77
775	265	76
776	266	76
777	266	75
778	266	75
779	266	75
780	267	74
781	267	74
782	267	74
783	267	73
784	268	73
785	268	73
786	268	72
787	268	72
788	269	71
789	269	71
790	269	71
791	269	70
792	270	70
793	270	70
794	270	69
795	270	69
796	271	69
797	271	68
798	271	68
799	271	67
800	272	67
801	272	67
802	272	66
803	273	66
804	273	66
805	273	65
806	274	65
807	274	65
808	274	64
809	274	64
810	275	64
811	275	63
812	275	63
813	275	63
814	276	62
815	276	62
816	276	61
817	276	61
818	277	61
819	277	60
820	277	60
821	277	60
822	278	59
823	278	59
824	278	59
825	279	58
826	279	58
827	279	58
828	279	57
829	280	57
830	280	57
831	280	56
832	280	56
833	281	55
834	281	55
835	281	55
836	282	54
837	282	54
838	282	54
839	282	53
840	283	53
841	283	53
842	283	52
843	283	52
844	284	52
845	284	51
846	284	51
847	285	51
848	285	50
849	285	50
850	285	50
851	286	49
852	286	49
853	286	48
854	286	48
855	287	48
856	287	47
857	287	47
858	287	47
859	288	46
860	288	46
861	288	46
862	288	45
863	289	45
864	289	45
865	289	44
866	289	44
867	290	44
868	290	43
869	290	43
870	291	43
871	291	42
872	291	42
873	291	42
874	292	41
875	292	41
876	292	41
877	292	40
878	293	40
879	293	40
880	293	39
881	293	39
882	294	38
883	294	38
884	294	38
885	294	37
886	295	37
887	295	37
888	295	36
889	296	36
890	296	36
891	296	35
892	296	35
893	297	35
894	297	34
895	297	34
896	297	34
897	298	33
898	298	33
899	298	33
900	298	32
901	299	32
902	299	32
903	299	31
904	300	31
905	300	31
906	300	30
907	300	30
908	301	30
909	301	29
910	301	29
911	301	29
912	302	28
913	302	28
914	302	28
915	302	27
916	303	27
917	303	27
918	303	26
919	303	26
920	304	26
921	304	25
922	304	25
923	304	25
924	305	24
925	305	24
926	305	24
927	305	23
928	306	23
929	306	23
930	306	22
931	307	22
932	307	22
933	308	21
934	308	21
935	308	21
936	308	20
937	309	20
938	309	20
939	309	19
940	310	19
941	310	19
942	310	18
943	310	18
944	311	18
945	311	17
946	311	17
947	311	17
948	312	16
949	312	16
950	312	16
951	312	15
952	313	15
953	313	15
954	313	14
955	313	14
956	314	14
957	314	13
958	314	13
959	314	13
960	315	12
961	315	12
962	315	12
963	316	11
964	316	11
965	316	11
966	316	10
967	317	10
968	317	10
969	317	9
970	317	9
971	318	9
972	318	8
973	318	8
974	318	8
975	319	7
976	319	7
977	319	7
978	319	6
979	320	6
980	320	6
981	320	5
982	321	5
983	321	5
984	321	4
985	321	4
986	322	4
987	322	3
988	322	3
989	322	3
990	323	2
991	323	2
992	323	2
993	324	1
994	324	1
995	324	1
996	324	0
997	325	0
998	325	0
999	325	0
