iter	Passed	Remaining
0	9	9171
1	10	5121
2	10	3576
3	11	2898
4	13	2644
5	13	2294
6	14	2062
7	15	1892
8	15	1757
9	16	1642
10	17	1538
11	17	1451
12	18	1367
13	18	1297
14	18	1236
15	19	1181
16	19	1131
17	19	1088
18	20	1050
19	20	1016
20	21	985
21	21	954
22	21	929
23	22	904
24	22	887
25	23	866
26	23	844
27	23	826
28	24	811
29	24	795
30	24	780
31	25	765
32	25	751
33	25	738
34	26	727
35	26	716
36	27	708
37	27	698
38	27	689
39	28	680
40	28	673
41	29	664
42	29	658
43	30	652
44	30	648
45	31	642
46	31	636
47	31	632
48	32	628
49	32	622
50	33	616
51	33	610
52	33	605
53	34	599
54	34	593
55	34	588
56	35	583
57	35	578
58	35	573
59	36	568
60	36	563
61	37	559
62	37	556
63	37	551
64	38	547
65	38	543
66	38	541
67	39	537
68	39	534
69	39	530
70	40	527
71	40	524
72	41	520
73	41	517
74	41	514
75	42	511
76	42	508
77	42	505
78	43	502
79	43	499
80	43	497
81	44	495
82	44	490
83	44	488
84	45	485
85	45	483
86	45	481
87	46	480
88	46	480
89	47	480
90	47	477
91	48	476
92	48	474
93	49	472
94	49	470
95	49	469
96	50	469
97	51	470
98	51	470
99	52	468
100	52	466
101	52	464
102	53	462
103	53	461
104	53	459
105	54	457
106	54	455
107	55	454
108	55	452
109	55	450
110	56	448
111	56	447
112	56	446
113	57	445
114	57	445
115	58	443
116	58	441
117	59	441
118	59	439
119	59	438
120	60	437
121	60	435
122	61	435
123	61	434
124	61	432
125	62	432
126	62	430
127	63	429
128	63	430
129	64	429
130	64	427
131	64	426
132	65	424
133	65	423
134	65	421
135	66	420
136	66	419
137	66	418
138	67	416
139	67	415
140	68	414
141	68	412
142	68	412
143	69	410
144	69	409
145	69	409
146	70	408
147	70	407
148	71	406
149	71	405
150	71	404
151	72	403
152	72	402
153	73	401
154	73	400
155	73	399
156	74	398
157	74	397
158	74	396
159	75	395
160	75	393
161	76	393
162	76	392
163	76	391
164	77	390
165	77	389
166	77	388
167	78	387
168	78	386
169	78	385
170	79	384
171	79	383
172	79	382
173	80	381
174	80	381
175	81	380
176	81	380
177	82	379
178	82	378
179	83	378
180	83	377
181	83	376
182	84	376
183	84	375
184	84	374
185	85	373
186	85	372
187	86	371
188	86	371
189	86	370
190	87	369
191	87	369
192	88	368
193	88	367
194	88	366
195	89	366
196	89	365
197	89	364
198	90	363
199	90	362
200	91	362
201	91	361
202	91	360
203	92	359
204	92	359
205	93	358
206	93	358
207	94	358
208	94	357
209	94	356
210	95	355
211	95	355
212	96	355
213	96	354
214	96	353
215	97	353
216	97	352
217	97	351
218	98	350
219	98	349
220	98	348
221	99	347
222	99	346
223	99	345
224	99	344
225	100	343
226	100	342
227	100	340
228	100	339
229	101	339
230	101	337
231	101	337
232	102	336
233	102	335
234	102	334
235	102	333
236	103	332
237	103	331
238	103	330
239	103	329
240	104	328
241	104	327
242	104	326
243	105	325
244	105	324
245	105	323
246	105	322
247	106	322
248	106	321
249	106	320
250	107	319
251	107	318
252	107	317
253	107	317
254	108	316
255	108	315
256	109	316
257	109	315
258	110	315
259	110	314
260	110	314
261	111	313
262	111	312
263	111	311
264	112	311
265	112	310
266	112	309
267	113	308
268	113	308
269	113	307
270	114	306
271	114	306
272	114	305
273	115	304
274	115	303
275	115	303
276	115	302
277	116	301
278	116	301
279	116	300
280	117	300
281	117	299
282	117	298
283	118	298
284	118	297
285	118	296
286	119	296
287	119	295
288	119	295
289	120	294
290	120	293
291	120	293
292	121	292
293	121	292
294	121	291
295	122	290
296	123	291
297	123	291
298	123	290
299	124	289
300	124	289
301	125	288
302	125	288
303	125	287
304	125	286
305	126	286
306	126	285
307	126	285
308	127	284
309	127	283
310	127	283
311	128	282
312	128	281
313	128	281
314	128	280
315	129	279
316	129	279
317	129	278
318	130	278
319	130	277
320	130	276
321	131	276
322	131	276
323	132	275
324	132	274
325	132	274
326	133	273
327	133	273
328	133	272
329	134	272
330	134	271
331	135	271
332	135	271
333	135	270
334	136	270
335	136	269
336	136	269
337	137	268
338	137	267
339	137	267
340	138	266
341	138	266
342	138	265
343	138	265
344	139	264
345	139	263
346	139	263
347	140	262
348	140	262
349	140	261
350	141	260
351	141	260
352	141	259
353	142	259
354	142	259
355	142	258
356	143	258
357	143	257
358	143	257
359	144	256
360	144	255
361	144	255
362	145	254
363	145	254
364	146	254
365	146	253
366	146	253
367	147	252
368	147	251
369	147	251
370	147	250
371	148	250
372	148	249
373	148	249
374	149	248
375	149	248
376	149	247
377	150	247
378	150	246
379	150	246
380	151	245
381	151	244
382	151	244
383	151	243
384	153	245
385	154	245
386	154	244
387	154	244
388	155	243
389	155	243
390	155	242
391	156	242
392	156	241
393	156	240
394	156	240
395	158	241
396	158	241
397	159	240
398	159	239
399	159	239
400	159	238
401	160	238
402	160	238
403	160	237
404	161	237
405	161	236
406	161	235
407	162	235
408	162	234
409	162	234
410	163	233
411	163	233
412	163	232
413	164	232
414	164	231
415	164	231
416	165	230
417	165	230
418	165	229
419	166	229
420	166	228
421	166	228
422	167	227
423	167	227
424	167	226
425	168	226
426	168	225
427	168	225
428	168	224
429	169	224
430	169	223
431	170	223
432	170	223
433	170	222
434	171	222
435	171	221
436	171	221
437	171	220
438	172	220
439	172	219
440	172	219
441	173	218
442	173	218
443	173	217
444	174	217
445	174	216
446	174	216
447	174	215
448	175	215
449	175	214
450	176	214
451	176	213
452	176	213
453	176	212
454	177	212
455	177	212
456	178	211
457	178	211
458	178	210
459	179	210
460	179	209
461	179	209
462	180	209
463	181	209
464	182	209
465	182	208
466	182	208
467	182	207
468	183	207
469	183	207
470	183	206
471	184	206
472	184	205
473	184	205
474	185	204
475	185	204
476	185	203
477	186	203
478	186	202
479	186	202
480	187	201
481	187	201
482	187	200
483	187	200
484	188	199
485	190	201
486	190	201
487	191	200
488	191	200
489	191	199
490	191	199
491	192	198
492	192	197
493	192	197
494	193	197
495	193	196
496	193	196
497	194	195
498	194	195
499	195	195
500	195	194
501	195	194
502	196	193
503	196	193
504	196	192
505	196	192
506	197	191
507	197	191
508	197	190
509	198	190
510	198	189
511	198	189
512	198	188
513	199	188
514	199	187
515	199	187
516	200	186
517	200	186
518	200	186
519	201	185
520	201	185
521	201	184
522	202	184
523	202	183
524	202	183
525	203	182
526	203	182
527	203	182
528	203	181
529	204	181
530	204	180
531	204	180
532	205	179
533	205	179
534	205	178
535	206	178
536	206	177
537	206	177
538	207	177
539	208	177
540	208	176
541	209	176
542	209	176
543	209	175
544	210	175
545	210	175
546	211	174
547	211	174
548	211	174
549	212	173
550	212	173
551	212	172
552	212	172
553	213	171
554	213	171
555	213	170
556	214	170
557	214	169
558	214	169
559	214	168
560	215	168
561	215	167
562	215	167
563	216	167
564	216	166
565	216	166
566	216	165
567	217	165
568	217	164
569	217	164
570	218	163
571	218	163
572	218	163
573	219	162
574	219	162
575	219	161
576	220	161
577	220	160
578	220	160
579	221	160
580	221	159
581	221	159
582	221	158
583	222	158
584	223	158
585	224	158
586	225	158
587	225	157
588	225	157
589	225	156
590	226	156
591	226	156
592	226	155
593	226	155
594	227	154
595	227	154
596	227	153
597	228	153
598	228	152
599	228	152
600	228	152
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	230	148
608	231	148
609	231	147
610	231	147
611	232	147
612	232	146
613	232	146
614	232	145
615	233	145
616	233	144
617	233	144
618	234	144
619	234	143
620	234	143
621	235	142
622	235	142
623	235	141
624	235	141
625	236	141
626	236	140
627	236	140
628	237	139
629	237	139
630	237	139
631	237	138
632	238	138
633	238	137
634	239	137
635	239	137
636	239	136
637	240	136
638	240	135
639	240	135
640	241	134
641	241	134
642	241	134
643	241	133
644	242	133
645	242	132
646	242	132
647	243	132
648	243	131
649	243	131
650	244	130
651	244	130
652	244	130
653	245	129
654	245	129
655	245	128
656	246	128
657	246	128
658	246	127
659	246	127
660	247	126
661	247	126
662	247	125
663	248	125
664	248	125
665	248	124
666	249	124
667	249	123
668	249	123
669	249	123
670	250	122
671	250	122
672	250	121
673	251	121
674	251	121
675	251	120
676	251	120
677	252	119
678	252	119
679	252	118
680	253	118
681	253	118
682	253	117
683	254	117
684	254	117
685	255	116
686	255	116
687	256	116
688	257	116
689	257	115
690	257	115
691	258	114
692	258	114
693	258	114
694	258	113
695	259	113
696	259	112
697	259	112
698	260	111
699	260	111
700	260	111
701	261	110
702	261	110
703	261	110
704	262	109
705	262	109
706	262	108
707	263	108
708	263	108
709	264	107
710	264	107
711	265	107
712	265	106
713	265	106
714	266	106
715	266	105
716	266	105
717	267	104
718	267	104
719	267	104
720	268	103
721	268	103
722	268	103
723	269	102
724	270	102
725	270	102
726	270	101
727	270	101
728	271	100
729	271	100
730	271	100
731	272	99
732	272	99
733	272	98
734	273	98
735	273	98
736	273	97
737	274	97
738	274	96
739	274	96
